,Close,Volume
2019-09-25,28.78,15542140.0
2019-09-26,28.78,13551165.0
2019-09-27,28.64,14546071.0
2019-09-30,28.2,8856574.0
2019-10-01,28.34,13542517.0
2019-10-02,28.68,12941511.0
2019-10-03,28.82,15455518.0
2019-10-04,28.82,13184787.0
2019-10-07,28.56,11413973.0
2019-10-08,28.82,20753076.0
2019-10-09,28.84,8810322.0
2019-10-10,28.58,9282535.0
2019-10-11,28.42,15849885.0
2019-10-14,28.52,3216762.0
2019-10-15,28.36,8875634.0
2019-10-16,28.5,6483771.0
2019-10-17,28.54,5118321.0
2019-10-18,28.5,3968616.0
2019-10-21,28.36,3817994.0
2019-10-22,28.46,3649204.0
2019-10-23,28.54,5371072.0
2019-10-24,28.74,6395953.0
2019-10-25,28.8,8116859.0
2019-10-28,28.54,6870143.0
2019-10-29,28.44,6936469.0
2019-10-30,28.64,9684632.0
2019-10-31,28.92,8658103.0
2019-11-01,28.92,8843114.0
2019-11-04,28.86,8008914.0
2019-11-05,28.38,10268698.0
2019-11-06,28.52,7631797.0
2019-11-07,28.06,12810059.0
2019-11-08,27.9,7486083.0
2019-11-11,27.8,7772195.0
2019-11-12,27.9,8860279.0
2019-11-13,28.0,8853987.0
2019-11-14,28.12,5942517.0
2019-11-15,28.06,4568890.0
2019-11-18,28.16,5684008.0
2019-11-19,28.16,4444479.0
2019-11-20,28.16,9434576.0
2019-11-21,28.0,6772731.0
2019-11-22,27.96,6842496.0
2019-11-25,27.82,5670885.0
2019-11-26,27.96,5279107.0
2019-11-27,27.82,4746146.0
2019-11-29,27.96,4400306.0
2019-12-02,27.96,12991305.0
2019-12-03,28.24,8738263.0
2019-12-04,28.18,14236648.0
2019-12-05,28.22,7489917.0
2019-12-06,27.92,10973778.0
2019-12-09,27.94,4782172.0
2019-12-10,28.0,4232270.0
2019-12-11,28.22,7160327.0
2019-12-12,28.1,11950810.0
2019-12-13,28.24,6925315.0
2019-12-16,28.24,4776016.0
2019-12-17,28.2,11989602.0
2019-12-18,28.2,7531182.0
2019-12-19,28.26,6139544.0
2019-12-20,28.24,3115404.0
2019-12-23,28.4,3849851.0
2019-12-24,28.66,2714482.0
2019-12-26,28.9,3569243.0
2019-12-27,28.88,3541536.0
2019-12-30,28.98,6634964.0
2019-12-31,29.0,7149011.0
2020-01-02,29.22,18541480.0
2020-01-03,29.62,9173098.0
2020-01-06,29.92,15391141.0
2020-01-07,30.04,10624335.0
2020-01-08,29.82,17855782.0
2020-01-09,29.64,8059405.0
2020-01-10,29.84,8781159.0
2020-01-13,29.6,5794694.0
2020-01-14,29.56,8080039.0
2020-01-15,29.76,8530284.0
2020-01-16,29.7,7726762.0
2020-01-17,29.78,5195605.0
2020-01-21,29.8,8173217.0
2020-01-22,29.8,7501530.0
2020-01-23,29.88,8426213.0
2020-01-24,30.04,10428981.0
2020-01-27,30.26,7526031.0
2020-01-28,29.98,7758981.0
2020-01-29,30.12,10553093.0
2020-01-30,30.14,13551944.0
2020-01-31,30.34,14083772.0
2020-02-03,30.12,11007423.0
2020-02-04,29.72,10884534.0
2020-02-05,29.76,8934552.0
2020-02-06,29.94,7569845.0
2020-02-07,30.0,7035782.0
2020-02-10,30.06,6318818.0
2020-02-11,29.96,8962190.0
2020-02-12,29.94,6644856.0
2020-02-13,30.14,11036142.0
2020-02-14,30.26,5490812.0
2020-02-18,30.64,9517558.0
2020-02-19,30.82,10509802.0
2020-02-20,30.96,8151757.0
2020-02-21,31.42,12642469.0
2020-02-24,31.7,24425184.0
2020-02-25,31.12,26278386.0
2020-02-26,31.26,20908851.0
2020-02-27,31.24,22709660.0
2020-02-28,30.14,31492699.0
2020-03-02,30.3,17719452.0
2020-03-03,31.24,27914975.0
2020-03-04,31.32,14770496.0
2020-03-05,31.98,14313202.0
2020-03-06,32.0,17822829.0
2020-03-09,32.08,19309738.0
2020-03-10,31.36,18333490.0
2020-03-11,31.24,21035121.0
2020-03-12,29.98,38685901.0
2020-03-13,29.1,33356327.0
2020-03-16,28.8,29196576.0
2020-03-17,29.2,28226375.0
2020-03-18,28.52,34539849.0
2020-03-19,28.06,22607400.0
2020-03-20,28.46,14761319.0
2020-03-23,29.7,17884238.0
2020-03-24,31.04,20031337.0
2020-03-25,30.7,19429556.0
2020-03-26,31.14,15774903.0
2020-03-27,30.9,15695107.0
2020-03-30,30.98,9599868.0
2020-03-31,30.14,9054111.0
2020-04-01,30.34,13186117.0
2020-04-02,30.84,9879506.0
2020-04-03,31.06,9570229.0
2020-04-06,31.88,12516743.0
2020-04-07,31.76,13758356.0
2020-04-08,31.38,5854543.0
2020-04-09,32.18,11129317.0
2020-04-13,32.76,25360894.0
2020-04-14,33.08,14653897.0
2020-04-15,32.98,10986525.0
2020-04-16,32.82,7528128.0
2020-04-17,32.16,9111764.0
2020-04-20,32.46,8670271.0
2020-04-21,32.22,9851124.0
2020-04-22,32.8,8763966.0
2020-04-23,33.14,8297546.0
2020-04-24,33.0,10786856.0
2020-04-27,32.86,6813821.0
2020-04-28,32.68,7688386.0
2020-04-29,32.86,9120575.0
