,gold_realized_vol_20d,gold_realized_vol_5d,vol_of_vol
2019-09-11,0.14898053485637852,0.14834514551843736,0.008590674800082665
2019-09-12,0.14541598040917061,0.07925335064168164,0.007985642033267848
2019-09-13,0.14594790470833863,0.07531949056735628,0.007190315551743969
2019-09-16,0.14843055828035526,0.10270903862853772,0.006520221168199035
2019-09-17,0.14561362268906727,0.07519999591044794,0.006128719327567416
2019-09-18,0.14538080628403047,0.07496083799643781,0.005382332481159016
2019-09-19,0.1472324296399183,0.09244940072186697,0.00447009357587667
2019-09-20,0.14749214740060948,0.08683170422078466,0.002761400257290723
2019-09-23,0.13494191971600208,0.09933445656196158,0.0035479468879912467
2019-09-24,0.13644199969847073,0.1007786315424729,0.003993129341374104
2019-09-25,0.1460430367836187,0.1840769268665175,0.004000898011499562
2019-09-26,0.14637553675744822,0.17662083956556696,0.004007329773655521
2019-09-27,0.14680149827975184,0.1770346965110449,0.004028654700313274
2019-09-30,0.1647935552431429,0.1928630245370635,0.005695461880218277
2019-10-01,0.15624008998141198,0.21891976633772275,0.006051758464119711
2019-10-02,0.16430312806630412,0.22741157632001388,0.007092317573044977
2019-10-03,0.1456171168279197,0.2293595536558467,0.007109576948824166
2019-10-04,0.14375863411742124,0.2239450873053402,0.0071702606586190884
2019-10-07,0.14478433834104978,0.12347947220664031,0.007202072919166533
2019-10-08,0.14194332773450088,0.10996376745217529,0.007308205727493112
2019-10-09,0.1431852005199788,0.07179106806702513,0.0073539374186401074
2019-10-10,0.14550202583061714,0.08351696632851548,0.0073529641793051315
2019-10-11,0.14715659278977464,0.09399889064186709,0.007348469039670463
2019-10-14,0.14588838171651924,0.10970684400457124,0.007346262914742145
2019-10-15,0.1491656555460825,0.12533821459929378,0.007354556096501035
2019-10-16,0.15164930301615967,0.13018746676444923,0.0074084577015843525
2019-10-17,0.15058820505047962,0.1252795388643236,0.007440824736639098
2019-10-18,0.14919666394085532,0.10904533871254429,0.007448876728944793
2019-10-21,0.14349369463630618,0.1011379247614065,0.006902232854643489
2019-10-22,0.14116747319506523,0.07066849187897341,0.006552506488289642
2019-10-23,0.1293290530423419,0.062294516455125896,0.007811496772895368
2019-10-24,0.13116872718795405,0.0736510932084333,0.008628845434824528
2019-10-25,0.12951437006783684,0.06693708219948896,0.009453685195419524
2019-10-28,0.10263929875115978,0.08027911485000479,0.012612033885176092
2019-10-29,0.09553706706366284,0.08280610905185076,0.01604742756397526
2019-10-30,0.08669722024716975,0.0866338322398293,0.01892930256663027
2019-10-31,0.09603037468876438,0.11512864022190711,0.020749364363458617
2019-11-01,0.09640548012397662,0.1190998138576041,0.022161176074263822
2019-11-04,0.09394180977948523,0.09971578954128503,0.023385319523855815
2019-11-05,0.11485827533483361,0.18132693541550274,0.02335067372095687
2019-11-06,0.11515405527934251,0.1808803518410139,0.02317852349974194
2019-11-07,0.12872922356385183,0.17523373382148602,0.022725411719847405
2019-11-08,0.12608131629817573,0.17502270883420987,0.02212039892521389
2019-11-11,0.12401076433983084,0.16846318333386615,0.021506239652500484
2019-11-12,0.12020075671317065,0.1385978178741458,0.020590811804533427
2019-11-13,0.11983480056157064,0.13987131372223222,0.019313696126198935
2019-11-14,0.12229862725090149,0.08454689873681373,0.017920367513050726
