,Close
2002-09-17,4.577
2002-09-18,4.619
2002-09-19,4.639
2002-09-20,4.629
2002-09-23,4.627
2002-09-24,4.649
2002-09-25,4.579
2002-09-26,4.505
2002-09-27,4.505
2002-09-30,4.548
2002-10-01,4.488
2002-10-02,4.485
2002-10-03,4.485
2002-10-04,4.49
2002-10-07,4.45
2002-10-08,4.373
2002-10-09,4.35
2002-10-10,4.285
2002-10-11,4.32
2002-10-14,4.31
2002-10-15,4.323
2002-10-16,4.37
2002-10-17,4.345
2002-10-18,4.36
2002-10-21,4.352
2002-10-22,4.412
2002-10-23,4.407
2002-10-24,4.362
2002-10-25,4.407
2002-10-28,4.412
2002-10-29,4.51
2002-10-30,4.485
2002-10-31,4.505
2002-11-01,4.49
2002-11-04,4.487
2002-11-05,4.495
2002-11-06,4.483
2002-11-07,4.55
2002-11-08,4.532
2002-11-11,4.572
2002-11-12,4.6
2002-11-13,4.56
2002-11-14,4.562
2002-11-15,4.575
2002-11-18,4.537
2002-11-19,4.547
2002-11-20,4.535
2002-11-21,4.468
2002-11-22,4.543
2002-11-25,4.473
2002-11-26,4.433
2002-11-27,4.414
2002-12-02,4.422
2002-12-03,4.532
2002-12-04,4.559
2002-12-05,4.622
2002-12-06,4.632
2002-12-09,4.6
2002-12-10,4.608
2002-12-11,4.634
2002-12-12,4.744
2002-12-13,4.704
2002-12-16,4.702
2002-12-17,4.64
2002-12-18,4.665
2002-12-19,4.725
2002-12-20,4.63
2002-12-23,4.653
2002-12-24,4.657
2002-12-26,4.7
2002-12-27,4.712
2002-12-30,4.673
2002-12-31,4.812
2003-01-02,4.823
2003-01-03,4.903
2003-01-06,4.91
2003-01-07,4.815
2003-01-08,4.867
2003-01-09,4.855
2003-01-10,4.873
2003-01-13,4.84
2003-01-14,4.765
2003-01-15,4.78
2003-01-16,4.835
2003-01-17,4.81
2003-01-21,4.82
2003-01-22,4.848
2003-01-23,4.785
2003-01-24,4.885
2003-01-27,4.835
2003-01-28,4.875
2003-01-29,4.805
2003-01-30,4.87
2003-01-31,4.86
2003-02-03,4.835
2003-02-04,4.918
2003-02-05,4.768
2003-02-06,4.68
2003-02-07,4.65
2003-02-10,4.6
2003-02-11,4.57
2003-02-12,4.507
2003-02-13,4.533
2003-02-14,4.535
2003-02-18,4.555
2003-02-19,4.625
2003-02-20,4.662
2003-02-21,4.665
2003-02-24,4.715
2003-02-25,4.642
2003-02-26,4.655
2003-02-27,4.561
2003-02-28,4.585
2003-03-03,4.657
2003-03-04,4.657
2003-03-05,4.622
2003-03-06,4.661
2003-03-07,4.676
2003-03-10,4.668
2003-03-11,4.678
2003-03-12,4.623
2003-03-13,4.528
2003-03-14,4.527
2003-03-17,4.439
2003-03-18,4.452
2003-03-19,4.409
2003-03-20,4.408
2003-03-21,4.346
2003-03-24,4.359
2003-03-25,4.386
2003-03-26,4.391
2003-03-27,4.386
2003-03-28,4.433
2003-03-31,4.465
2003-04-01,4.437
2003-04-02,4.402
2003-04-03,4.413
2003-04-04,4.415
2003-04-07,4.423
2003-04-08,4.478
2003-04-09,4.483
2003-04-10,4.49
2003-04-11,4.493
2003-04-14,4.538
2003-04-15,4.523
2003-04-16,4.485
2003-04-17,4.47
2003-04-21,4.535
2003-04-22,4.597
2003-04-23,4.625
2003-04-24,4.645
2003-04-25,4.632
2003-04-28,4.58
2003-04-29,4.548
2003-04-30,4.638
2003-05-01,4.761
2003-05-02,4.784
2003-05-05,4.802
2003-05-06,4.787
2003-05-07,4.729
2003-05-08,4.789
2003-05-09,4.787
2003-05-12,4.861
2003-05-13,4.814
2003-05-14,4.864
